sequence,16S_rRNA_Count
04cc5fc6d4de0904fd1b851c5c4ae5b3,1
04cff1fd74be3ac616d7eed00945c516,1
04d2276162aff668c41e864ecaf735b5,2
04d3cebcac30fa261a35f81b26d9df25,1
04d5a86ba5a0c8e71e7d58f4dc3de865,1
04dc52364ec56ad29b0244cf3ddf7e80,1
04ddb3a85fd60091bdcc33df7787683a,3
04e632511012f62de9f67f8b68eac774,1
04e98de8a443c74aa0f6bb0c7d3f3080,2
04e9d13143b3131a131804eb939278a7,1
04f3b003168a2ac1a429f1c9723fbcf7,1
04f49c48330de6b401ceda10036be561,1
04f61de4f55b50f2f9456819670899a4,3
04ffbd7903a688e4790c5e6aee130cd6,3
05037d864272959832f48a33f59408c7,1
050d74a6cc3ed74985918af4f5743e90,1
0510cd0af8da4b20ee6b0aa9b3a4374d,1
0511e021419a7a8b042a3a82abf27e7d,3
0514e4819302887f99dddf39e8440c53,1
0515ba6d1b6f841b5d4aa36687413dfd,1
051802ff7170b02d071427863dd1a00a,3
052103abe73f198ec254852cfb06063a,2
052f93437f4912bbe31d1df5aa9b1471,1
0530a332e89d9e8a03b859290c4ec37d,3
0530bb6854da568f48c1ff5f96e798e5,1
0531a83d18f780eb741138a268171a96,1
05697c39648d9bac18ec7456991f3a0c,2
0570a30c15addef7a515ab693706766e,1
05789e5b183383be877ef028905cede6,1
0579efb048703c12cc01a32fe619ae62,1
057c55f15fac38f9f037321e45b6ccf1,1
0592b76d5da535a482b72d99dfa6a4f9,1
059fceb036cebb1ef1631feb39d18be1,1
05a3023c1ab92e4aa86adfd5feb0cab3,1
05aa4c92c159085fd2e76ca654b2ead0,1
05aa73755f871729fb3718054cde3468,1
05bdbcdfeaa528c8c9ca4a486a79db2f,1
05c4bf390a13cc2a17a3628c884bcce2,2
05cb1ebbed7cfa2941f0de9f00bfd5b6,1
05d1c5710855bd128c27baebec243cfa,1
05d3e836fef07ea1acbec11d598b828f,1
05df091391c47bc30c4e6096c5cf0b17,1
05e12a891d3756a762b6e41543bb30a5,1
05e37329118178dd669032374108b4a7,1
05e5250b99d307e978f2e546c5194509,1
05eafff2f5fb45c0f7ab8db1bc97fa7c,1
05ec396e3f7397a7f12d307934347d02,1
05ef69ce607dfa62722b4a44bd15894c,1
05f2fb847cd6a02c2d0621fb4c2673f2,1
05f944707894c4bfecc8d9674ce9485c,1
06013892ae28b90f593a1553f185a52f,2
0602cb27c7a3ca6e774141424b65b455,1
