XXX,Sample,FD10,FD11,FD12,FD13,FD14,FD15,FD16,FD17,FD18,FD31,FD32,FD33,FD34,FD35,FD36,FD43,FD44,FD45,FD46,FD47,FD48,FD7,FD8,FD9,Totalpersamp,totalfeatures,relabund,reabund*100,size
X,7cbdfe9053b27e5811adf2156d63e127,68,78,68,0,66,23,37,33,63,74,54,70,56,157,54,31,0,45,24,20,39,239,72,92,1463,1135022,0.001288962,0.12889618,4.13
X,7d252b1446a364a999c53c970a66489b,0,0,116,0,28,110,63,155,95,0,0,0,28,0,26,80,86,0,0,0,0,11,38,0,836,1135022,0.00073655,0.07365496,4.07
X,7d6d1d8113ec7f891d27d8391df66411,12,48,45,0,24,0,24,18,29,0,8,27,20,27,26,21,0,12,0,25,12,47,28,38,491,1135022,0.000432591,0.043259073,4.04
X,7d95d8417564fd29645c9844a7908af6,82,142,70,0,41,0,89,50,66,42,0,38,162,79,47,0,0,17,0,38,0,142,33,85,1223,1135022,0.001077512,0.107751215,4.11
X,7da1299ab8186f27f3398521ade85763,0,60,0,0,0,29,82,0,0,0,21,68,55,0,0,26,0,0,29,0,23,67,0,0,460,1135022,0.000405278,0.040527849,4.04
X,7e7faa5b3c2d481a8eb03e62fabfed12,72,0,84,0,32,74,51,0,0,23,0,81,64,0,37,0,22,0,0,0,26,96,0,71,733,1135022,0.000645802,0.064580246,4.06
X,7e86b48094ed01076711799df43ea9cd,0,48,0,0,49,35,0,83,39,44,0,70,95,0,37,46,40,62,70,112,36,0,32,0,898,1135022,0.000791174,0.079117409,4.08
X,7f8879f54cceba4878e0666428f37d0a,78,21,53,41,137,55,0,46,80,43,0,52,122,0,0,58,92,0,47,0,58,323,73,150,1529,1135022,0.00134711,0.134711045,4.13
X,7fbcbf060cc20ed43ec136d96a8f5765,13,49,0,0,28,27,25,0,25,29,0,39,43,52,27,44,63,45,50,101,62,0,0,15,737,1135022,0.000649327,0.064932662,4.06
X,80f937741179ac587bd1e4de3f6f77a9,53,36,25,17,23,20,26,19,22,12,0,32,27,16,25,16,12,0,0,0,12,0,29,58,480,1135022,0.000422899,0.042289929,4.04
X,815441e55a0ea6cec04bc18f890a100d,375,570,275,64,409,467,296,395,241,285,49,247,471,338,294,275,357,199,360,197,515,379,464,484,8006,1135022,0.007053608,0.705360777,4.71
X,817c612f28169a4e2386b13f2b8f3305,71,120,48,31,120,66,142,93,111,58,0,71,103,84,90,46,10,26,0,0,0,163,189,175,1817,1135022,0.00160085,0.160085003,4.16
X,82c60d272efb9668c7048b4fefd45fdf,0,17,0,0,0,12,14,0,23,0,21,77,83,49,0,0,0,33,0,10,25,42,15,26,447,1135022,0.000393825,0.039382497,4.04
X,83614ef7222308b36bf7151a842fdfa2,41,0,0,0,0,0,279,104,0,80,0,0,0,0,0,404,133,0,64,0,175,193,462,406,2341,1135022,0.002062515,0.206251509,4.21
X,83805be70aece30df0d0e78d719d7a63,22,33,0,0,51,42,40,54,45,16,0,13,16,10,20,30,55,38,51,50,22,13,17,28,666,1135022,0.000586773,0.058677277,4.06
X,83d0fb5233cd558505090b596065ef56,0,0,0,0,22,14,41,0,0,29,0,0,0,22,21,28,14,0,17,0,30,16,0,9,263,1135022,0.000231714,0.023171357,4.02
X,845be08d6ae6d3073a24d790fab9962a,87,196,262,41,125,241,228,119,178,224,34,333,377,467,203,110,99,118,41,0,184,103,260,179,4209,1135022,0.003708298,0.370829817,4.37
X,84bcf042e3a9faf5a79ebeb6b4cc2284,13,17,0,0,0,11,0,0,0,13,0,0,22,14,17,16,0,0,24,19,0,0,12,23,201,1135022,0.000177089,0.017708908,4.02
X,856c2f52e9359dd3b4ee1dbe2819ccf6,103,103,54,42,72,37,63,57,66,55,0,64,143,89,41,71,56,71,46,0,55,57,81,105,1531,1135022,0.001348873,0.134887253,4.13
X,86c049dbebf28346fbcab63b05dd7560,52,39,33,17,28,21,33,31,22,44,14,15,56,17,12,71,56,60,63,33,55,98,52,64,986,1135022,0.000868706,0.086870563,4.09
X,86c145c16f8bacf8a6ec3549a30d6990,9,42,0,0,13,11,25,0,28,9,0,0,0,25,67,0,0,0,0,0,0,41,49,61,380,1135022,0.000334795,0.033479527,4.03
X,86d737843e7fd3272b6af197ce45a71c,11,0,0,0,0,0,4,0,7,0,10,0,14,11,0,0,0,15,8,0,19,0,14,0,113,1135022,9.95575E-05,0.009955754,4.01
X,86e14dd85367bf944f87fb172a7697ea,0,20,30,0,68,0,37,43,24,0,0,24,20,0,0,33,56,0,0,58,24,0,0,0,437,1135022,0.000385015,0.038501456,4.04
X,87f80e1b75c17bba760e92b1f6969094,33,53,27,19,63,36,47,27,60,36,0,38,42,52,39,0,43,19,10,0,26,0,43,36,749,1135022,0.000659899,0.06598991,4.07
X,883fab469077b040e17e928577ed4a8a,0,8,18,0,9,10,8,0,5,7,0,0,0,0,0,0,11,7,0,0,0,0,10,0,93,1135022,8.19367E-05,0.008193674,4.01
X,8860791be9bea854d2b813e7200c00a8,0,0,69,0,48,0,35,0,80,103,0,0,37,0,0,21,0,21,26,0,0,0,85,0,525,1135022,0.000462546,0.04625461,4.05
X,88a6c91701cd7cbd73bff81f821a4d47,19,20,44,0,0,47,50,120,78,0,0,13,0,0,48,0,78,28,0,45,28,0,0,0,618,1135022,0.000544483,0.054448284,4.05
X,88fb15f05df086348963d416fa3f3077,0,0,28,0,52,36,39,0,30,0,0,17,0,0,0,33,58,10,13,35,33,0,0,0,384,1135022,0.000338319,0.033831943,4.03
X,891dc7c4bc5fbd51e97b9a0c110c6220,69,96,57,21,118,157,182,132,96,33,13,33,47,30,62,166,153,58,90,118,119,0,47,22,1919,1135022,0.001690716,0.169071613,4.17
X,891f4e188fadbc3661081d172cdc6b0d,104,565,1016,156,519,1805,1175,1121,991,224,177,529,451,307,442,367,373,164,208,690,442,67,86,151,12130,1135022,0.010687018,1.068701752,5.07
X,893acb6d6f7290c6849d4c803a77f7ba,25,105,65,31,35,49,105,13,59,30,29,162,105,114,42,72,38,50,106,88,65,75,51,130,1644,1135022,0.00144843,0.144843007,4.14
X,8a6a25bf1aef413f6cae7a6678383e23,29,23,19,14,0,27,27,0,28,0,0,0,0,0,0,0,0,16,17,0,0,0,30,28,258,1135022,0.000227308,0.022730837,4.02
X,8acf98e90b03c6e2b7cd8d66b96f76b0,20,13,0,0,0,9,10,0,0,0,0,0,22,20,16,11,12,11,12,0,0,25,10,9,200,1135022,0.000176208,0.017620804,4.02
X,8af9b72c1b3847562719d980e6cab6ef,77,130,240,12,154,316,150,515,115,23,32,133,158,72,137,103,212,26,133,187,117,29,73,38,3182,1135022,0.00280347,0.280346989,4.28
