"","V1","V2","V3","V4","V5","V6","V7"
"ac78a742aa74105a18310f4a275e4b97",3,12.4027777777778,0.00106269925611052,0.333333333333333,0.0555555555555556,0.00866721018712633,0.0573857598299681
"X5b6f5fe19f90f0464f120d0b8314831d",2,38,0.00102986611740474,0,0.037037037037037,0.026554856743536,0.0556127703398558
"b34bfeabb3eee801d1327fa599dc62dd",1,0,0.00036231884057971,NA,0.0185185185185185,0,0.0195652173913043
"d7bc6cf5cb3426a32201976548d585e3",2,3,0.000362713093942691,0,0.037037037037037,0.00209643605870021,0.0195865070729053
"b7a5482c7191785711d021272ee87956",3,0,0.00106609808102345,1,0.0555555555555556,0,0.0575692963752665
"de059035279d147aaceb91a3832bd04f",6,45.9896825396825,0.00107874865156419,0.266666666666667,0.111111111111111,0.0321381429347886,0.058252427184466
"b9bfac159f30623d1b4db12490716e20",5,28.1722222222222,0.00107181136120043,0.4,0.0925925925925926,0.019687087506794,0.0578778135048231
"X1c98d4be0f258a0c13dc0c5ca72e392d",4,2.81111111111111,0.00105708245243129,0.666666666666667,0.0740740740740741,0.00196443823278205,0.0570824524312896
"X6ced55d82608cd08c5ce8db86bab90c5",3,0,0.00104931794333683,1,0.0555555555555556,0,0.0566631689401889
"bf7433a784642452c9cc06e8649a9c82",1,0,0.000991080277502478,NA,0.0185185185185185,0,0.0535183349851338
"e7f614c31ad3389a09ee5b8fd5b24496",5,77.302380952381,0.00107411385606874,0.2,0.0925925925925926,0.0540198329506506,0.0580021482277121
"X6ecd9a063a59e75728b947c9dd08e516",2,38,0.00103412616339193,0,0.037037037037037,0.026554856743536,0.0558428128231644
"f42553bb1a93e56af0d8e9a077ff3a31",1,0,0.000342935528120713,NA,0.0185185185185185,0,0.0185185185185185
"a422ba6209a0df2fadae198c6bc4e119",1,0,0.000342935528120713,NA,0.0185185185185185,0,0.0185185185185185
"X2546e87f73ee7e654aae9377120d7466",1,0,0.000342935528120713,NA,0.0185185185185185,0,0.0185185185185185
"bd108e6225156377be34bce0910ba03c",1,0,0.000342935528120713,NA,0.0185185185185185,0,0.0185185185185185
"X4da6d3edcf722c11f7d6c1bf3118e17a",2,38,0.0010515247108307,0,0.037037037037037,0.026554856743536,0.056782334384858
"X775fec4da6070b6a49e76c4f91f125bb",1,0,0.00101112234580384,NA,0.0185185185185185,0,0.0546006066734075
"X8b1fcdd9acd57c81c2960873fa07acc7",1,0,0.000342935528120713,NA,0.0185185185185185,0,0.0185185185185185
"X88b9b5ce30994c15273a16deafdd8c04",1,0,0.000342935528120713,NA,0.0185185185185185,0,0.0185185185185185
"X77ef9fa42a44f0ff2c434b7213613f5a",1,0,0.000342935528120713,NA,0.0185185185185185,0,0.0185185185185185
"X9af97e6fe25dc38ba9e5a47b579eab29",1,0,0.000342935528120713,NA,0.0185185185185185,0,0.0185185185185185
"X96184161ff816917e03d5b3f1cbb3cae",1,0,0.00099502487562189,NA,0.0185185185185185,0,0.0537313432835821
"X48fb4f8c7169e446fb5253f7c0cbdf58",2,74,0.00105708245243129,0,0.037037037037037,0.0517120894479385,0.0570824524312896
"c66b7425b2723f7b5ec2b11e01315e15",2,38,0.0010183299389002,0,0.037037037037037,0.026554856743536,0.054989816700611
"c759744a11557092492faaf15403d021",1,0,0.000980392156862745,NA,0.0185185185185185,0,0.0529411764705882
