,trt,taxa1,taxa2,rho,p.value,ab1,ab2
new.row.810,Reference,b34bfeabb3eee801d1327fa599dc62dd,d7bc6cf5cb3426a32201976548d585e3,0.537691161,0.006730636,57,823
new.row.1584,Reference,X1c98d4be0f258a0c13dc0c5ca72e392d,X6ced55d82608cd08c5ce8db86bab90c5,0.538483332,0.006634597,170,119
new.row.1542,Reference,X8c7b2024ebd20ba6ae4e4330080a58da,X9530fd73b85e82f5b83873dad2d153b0,0.538826823,0.006593311,233,1457
new.row.1291,Reference,b5db273fb027096019dad0da50e0eb6a,a0b41db4c12c221991d9a1b964e9c532,-0.539145965,0.006555144,51,127
new.row.237,Reference,X50c64d73b0dff610573e659c26d3d2f0,X9530fd73b85e82f5b83873dad2d153b0,-0.539690262,0.006490476,65,1457
new.row.441,Reference,d093275fd99cef0566cb0d69545f1edd,X206812a187831b7a055c0ecfbf42fecf,-0.539802539,0.006477203,1026,149
new.row.1267,Reference,X8b1fcdd9acd57c81c2960873fa07acc7,X88b9b5ce30994c15273a16deafdd8c04,0.540764978,0.006364353,41,238
new.row.1062,Reference,e7f614c31ad3389a09ee5b8fd5b24496,X8c7b2024ebd20ba6ae4e4330080a58da,0.54196671,0.006225757,48,233
new.row.882,Reference,b941d125fbe459ea53247a77310022d1,de059035279d147aaceb91a3832bd04f,0.542206148,0.006198446,98,137
new.row.1620,Reference,X206812a187831b7a055c0ecfbf42fecf,abeda5d3ee7ffa0360ae1b0762fb785e,-0.543247219,0.006080862,149,329
new.row.1792,Reference,dd15c93c31f1d3142f0553354486035e,abeda5d3ee7ffa0360ae1b0762fb785e,0.543900694,0.006008012,78,329
new.row.178,Reference,X39f85773af9d25895b93b0d15b06cb44,X9530fd73b85e82f5b83873dad2d153b0,0.545228512,0.005862234,59,1457
new.row.333,Reference,X8b7057d889d0cdff9a4ea90d5826d89a,c2bbecb72788dfac5258f79048143acb,0.546602653,0.005714501,21,159
new.row.885,Reference,b941d125fbe459ea53247a77310022d1,X02d30d756bdc2bef636557f8739cb345,0.548374344,0.00552864,98,173
new.row.442,Reference,d093275fd99cef0566cb0d69545f1edd,X45a07a39fafc2c6b9f8505ca7c4f36a5,0.549703696,0.005392534,1026,275
new.row.376,Reference,b53f214bd590edb5db458ab51c85ab8c,b5db273fb027096019dad0da50e0eb6a,0.552474295,0.005117878,83,51
new.row.318,Reference,X8b7057d889d0cdff9a4ea90d5826d89a,X66945ae4ca72c5195f82e8a979518b43,0.553163767,0.005051385,21,38
new.row.1067,Reference,e7f614c31ad3389a09ee5b8fd5b24496,X6ecd9a063a59e75728b947c9dd08e516,-0.553278924,0.00504035,48,35
new.row.40,Reference,X15267f1f06baa4f926bead554d979492,X39239d8a919bd2e038baf628fcb8d17b,-0.555258882,0.004853764,60,161
new.row.1899,Reference,X2cfda56691de5044be05da7da673367e,X151567602b94de92f189c4bca4c0b757,0.555948357,0.004790168,419,829
new.row.769,Reference,X723f16e12869e91f3596e50f7edeee01,abeda5d3ee7ffa0360ae1b0762fb785e,0.556255622,0.004762052,81,329
new.row.209,Reference,X50c64d73b0dff610573e659c26d3d2f0,X02d30d756bdc2bef636557f8739cb345,0.556398292,0.004749045,65,173
new.row.405,Reference,b53f214bd590edb5db458ab51c85ab8c,abeda5d3ee7ffa0360ae1b0762fb785e,0.557527609,0.004647134,83,329
new.row.1065,Reference,e7f614c31ad3389a09ee5b8fd5b24496,X206812a187831b7a055c0ecfbf42fecf,0.559676712,0.004458271,48,149
new.row.463,Reference,d093275fd99cef0566cb0d69545f1edd,X9530fd73b85e82f5b83873dad2d153b0,-0.560808146,0.004361464,1026,1457
new.row.216,Reference,X50c64d73b0dff610573e659c26d3d2f0,X45a07a39fafc2c6b9f8505ca7c4f36a5,0.561855791,0.00427341,65,275
new.row.927,Reference,b9bfac159f30623d1b4db12490716e20,de059035279d147aaceb91a3832bd04f,0.564913261,0.004024944,30,137
new.row.392,Reference,b53f214bd590edb5db458ab51c85ab8c,X4e2c801215cf206ccb1a0c5be1e4fd45,0.566560355,0.003896219,83,149
new.row.1583,Reference,X1c98d4be0f258a0c13dc0c5ca72e392d,dd15c93c31f1d3142f0553354486035e,0.57002346,0.003636859,170,78
new.row.1076,Reference,e7f614c31ad3389a09ee5b8fd5b24496,cc4f2e2e6f6159fcacbfcf8bda19f096,0.570617686,0.003593856,48,175
new.row.868,Reference,b7a5482c7191785711d021272ee87956,X99e80fb647ce348098a816eb94ee6053,-0.571872451,0.00350446,36,1742
new.row.659,Reference,X378a113b53e89acd9bbba8a0e604be72,dd15c93c31f1d3142f0553354486035e,-0.57534906,0.003266524,683,78
new.row.935,Reference,b9bfac159f30623d1b4db12490716e20,X1c98d4be0f258a0c13dc0c5ca72e392d,0.575546969,0.003253401,30,170
new.row.1624,Reference,X206812a187831b7a055c0ecfbf42fecf,X99e80fb647ce348098a816eb94ee6053,0.579454191,0.003003303,149,1742
