XXX,Sample,FD10,FD11,FD12,FD13,FD14,FD15,FD16,FD17,FD18,FD31,FD32,FD33,FD34,FD35,FD36,FD43,FD44,FD45,FD46,FD47,FD48,FD7,FD8,FD9,totalsinsample,total all samples,relabund,scale,size
,a422ba6209a0df2fadae198c6bc4e119,85,39,133,47,87,51,76,114,42,34,90,101,68,76,45,137,148,34,49,187,93,185,58,122,2101,24576,0.085489909,8.548990885,12.54899089
,abeda5d3ee7ffa0360ae1b0762fb785e,23,16,21,14,16,23,38,41,46,6,12,19,9,14,10,44,30,12,19,75,11,1,18,9,527,24576,0.021443685,2.14436849,6.14436849
,ac78a742aa74105a18310f4a275e4b97,1,2,45,34,7,0,5,6,0,2,13,7,2,0,0,0,0,0,0,0,0,0,1,5,130,24576,0.005289714,0.528971354,4.528971354
,acdcb676de60d3a4b3487f4b5ea30875,0,1,1,1,1,0,1,0,2,0,0,5,1,0,0,16,4,3,2,11,2,0,0,0,51,24576,0.002075195,0.207519531,4.207519531
,b53f214bd590edb5db458ab51c85ab8c,11,0,5,0,0,0,0,0,0,7,8,8,9,0,0,3,3,2,2,11,1,0,0,0,70,24576,0.002848307,0.284830729,4.284830729
,b5db273fb027096019dad0da50e0eb6a,5,1,3,0,0,4,4,4,3,0,0,0,0,0,2,14,8,1,4,7,2,0,1,3,66,24576,0.002685547,0.268554688,4.268554688
,bd108e6225156377be34bce0910ba03c,8,5,15,3,7,5,5,4,6,4,23,4,14,6,5,3,4,1,2,5,1,7,13,21,171,24576,0.006958008,0.695800781,4.695800781
,c2bbecb72788dfac5258f79048143acb,13,6,0,0,0,0,0,11,0,70,0,20,76,63,87,0,0,0,5,8,0,12,31,12,414,24576,0.016845703,1.684570313,5.684570313
,c4030cbb0bbe0ff3cbb2c6e84c2f2312,0,0,0,0,0,0,1,2,0,2,1,0,1,3,7,0,1,0,0,2,0,0,4,0,24,24576,0.000976563,0.09765625,4.09765625
,c66b7425b2723f7b5ec2b11e01315e15,94,23,85,173,137,12,22,116,52,170,47,243,438,114,176,35,13,28,40,36,37,16,136,55,2298,24576,0.093505859,9.350585938,13.35058594
,c759744a11557092492faaf15403d021,91,17,25,30,8,0,0,0,3,79,19,46,45,22,30,6,49,27,18,19,29,150,40,53,806,24576,0.032796224,3.279622396,7.279622396
,cc4f2e2e6f6159fcacbfcf8bda19f096,3,5,11,7,0,0,1,1,1,9,9,25,4,11,2,0,1,0,0,0,0,27,7,16,140,24576,0.005696615,0.569661458,4.569661458
,d093275fd99cef0566cb0d69545f1edd,14,14,13,0,0,0,0,0,14,0,0,0,0,0,0,33,59,70,15,248,22,0,0,0,502,24576,0.020426432,2.042643229,6.042643229
,d7bc6cf5cb3426a32201976548d585e3,13,3,5,1,0,76,11,5,33,0,0,0,3,0,4,0,52,0,5,0,4,74,282,17,588,24576,0.023925781,2.392578125,6.392578125
,dbd3afbb35e9527bceef67696237c086,0,0,0,1,2,0,0,19,5,1,2,0,3,2,5,0,0,0,0,0,0,0,0,2,42,24576,0.001708984,0.170898438,4.170898438
,dd15c93c31f1d3142f0553354486035e,8,2,21,5,28,3,0,33,12,30,1,16,39,19,39,11,4,14,15,13,14,0,10,5,342,24576,0.013916016,1.391601563,5.391601563
,de059035279d147aaceb91a3832bd04f,12,0,0,0,10,0,9,25,0,6,3,5,0,0,0,15,16,13,14,15,24,8,0,6,181,24576,0.007364909,0.736490885,4.736490885
,de1aa39434d2b589804169d007387c6a,2,7,9,0,2,28,1,4,105,0,0,0,0,0,0,2,42,0,0,0,0,0,0,0,202,24576,0.008219401,0.821940104,4.821940104
,ecb906a5ee9a43727f79ea2693ab66c1,1,10,39,7,21,16,17,25,87,0,7,0,1,0,0,49,17,12,12,141,15,0,0,0,477,24576,0.01940918,1.940917969,5.940917969
,ee32eb52d68d589f5b9a8440665084c2,12,0,15,7,0,3,4,26,3,5,29,8,0,4,7,18,14,8,8,278,1,0,7,0,457,24576,0.018595378,1.85953776,5.85953776
