XXX,Sample,FD1,FD19,FD2,FD20,FD21,FD22,FD23,FD24,FD25,FD26,FD27,FD28,FD29,FD3,FD30,FD37,FD38,FD39,FD4,FD40,FD41,FD42,FD5,FD6,totalsinsample,total all samples,relabund,scale,size
X,2cfda56691de5044be05da7da673367e,57,56,14,14,4,50,2,9,14,5,2,140,7,9,5,0,0,0,16,4,0,1,8,2,419,20786,0.020157799,2.015779852,6.015779852
X,378a113b53e89acd9bbba8a0e604be72,127,0,13,252,14,15,0,0,0,1,0,0,0,0,0,0,0,0,19,3,0,60,4,175,683,20786,0.032858655,3.285865486,7.285865486
,d9070a452fa357f462b07e41ab0d0b78,0,169,0,0,25,30,12,0,0,0,0,0,0,11,0,22,0,15,190,0,235,4,0,0,713,20786,0.034301934,3.430193399,7.430193399
,d7bc6cf5cb3426a32201976548d585e3,11,0,12,0,4,167,8,19,275,9,9,0,31,61,0,39,6,4,38,2,0,16,0,112,823,20786,0.039593957,3.959395747,7.959395747
X,151567602b94de92f189c4bca4c0b757,98,58,8,52,5,11,27,11,63,121,13,21,7,105,16,0,2,8,69,24,1,4,36,69,829,20786,0.039882613,3.98826133,7.98826133
,d093275fd99cef0566cb0d69545f1edd,0,0,0,0,17,0,0,6,0,0,0,0,7,0,2,3,655,139,0,42,77,78,0,0,1026,20786,0.049360146,4.936014625,8.936014625
,c759744a11557092492faaf15403d021,29,49,11,35,28,60,37,13,72,247,25,45,104,29,11,182,3,25,31,47,44,23,18,10,1178,20786,0.056672761,5.667276051,9.667276051
X,9530fd73b85e82f5b83873dad2d153b0,51,41,60,98,78,82,17,55,24,17,50,20,34,273,57,5,2,18,173,15,6,13,212,56,1457,20786,0.070095256,7.009525642,11.00952564
X,99e80fb647ce348098a816eb94ee6053,93,130,33,218,47,111,72,90,66,96,30,28,38,129,52,3,13,14,173,9,12,32,200,53,1742,20786,0.083806408,8.380640816,12.38064082
,c66b7425b2723f7b5ec2b11e01315e15,56,164,13,130,68,71,80,46,68,86,40,38,53,105,63,109,14,33,77,160,154,99,32,49,1808,20786,0.086981622,8.698162225,12.69816222
X,89def94559ef54cd895fc916d249bcd4,10,106,17,72,62,117,51,54,63,160,105,41,32,127,80,44,23,69,176,35,103,75,97,96,1815,20786,0.087318387,8.731838738,12.73183874
,a422ba6209a0df2fadae198c6bc4e119,57,122,32,29,125,116,14,110,32,24,53,64,151,134,148,47,48,91,229,43,63,107,40,74,1953,20786,0.093957471,9.395747137,13.39574714
